[0] 相关页面：术语集 | 俗语集
[1] 请善用左侧站内搜索以及Ctrl+F页面检索功能。
[2] あ行（A行）
[3] か行（Ka行）
[4] さ行（Sa行）
[5] た行（Ta行）
[6] な行（Na行）
[7] は行（Ha行）
[8] ま行（Ma行）
[9] や行（Ya行）
[10] ら行（Ra行）
[11] わ行（Wa行）
[12] 英文字母
[13] 数字·符号
[14] 备注栏
[15] あ行 †
[16] 道具扭蛋
[17] “每日可免费抽取两次的扭蛋（凌晨4点、16点刷新），有极低概率能抽出角色。”可以获得各类消耗道具、盛放花蕾、资金等物品，但并非所有道具都能从中产出。详情请查阅道具扭蛋词条。
[18] 红石
[19] 神凪茧所持法杖上镶嵌的小型红石。推测与爱丽丝社另一部作品《大帝国》中登场的红石为同一物品。拥有洗脑他人的能力，在活动剧情《坏孩子教祖与红石》中，它吸走茧的魔力，最终召唤出异世界的朵拉。因其危险性已被施加封印，可在第二部第14章中不知为何力量再次发动。
[20] 红月
[21] 主线第二部剧情中，出现在平流层附近、从闩市视角看重叠在原本月亮前方的另一轮月亮。
[22] 恶魔
[23] 魔王麾下、依靠魔力驱动，与神骑敌对的存在，目标是入侵地面。既有自然诞生的恶魔，也有堕天使创造出的恶魔。是原作《超昂神骑艾克希尔》的敌方单位，扎因属于下级恶魔。
[24] 恶魔军团沃格里姆
[25] 效忠于魔王的恶魔集团，第三部开篇的敌方组织。首领是追随魔王的魔宰相鲁鲁泽布，后遭反魔王派发动政变，如今被幽禁。麾下有7名魔将干部（魔玩将米吉克、魔执将玛雅等）。战力除扎因外，还能操控复刻历代魔将的魔影，同时也会使用无人机等人类兵器。
[26] 外号四人组
[27] 指同岁的鬼神谷哈坦、御子柴小狗、猫屋敷小濑、一之濑百合佩四人，隶属于想破。命名者是百合佩，理由是大家的昵称都十分古怪。四人就读同一所学园，通过群聊交换情报。顺带一提，四人里有三人长着角或兽耳，外形普通的百合佩反倒成了少数派。
[28] 另类迈斯
[29] 人类进化机构另类迈斯。该组织所宣称的“进化”，就是将全人类转化为幻魔。组织领袖高圆寺泷太郎现身的同时，向全球所有国家宣战。成员出身五花八门。主力战力是以灭忍克隆人为素体、穿戴护具并寄宿幻魔改造而成的怪物奥格。掌握能强制解除DDD变身的反DDD力场等超科技，令激斗战士们陷入苦战。
[30] 组织成员
[31] 高圆寺泷太郎
[32] 组织总帅，高圆寺沙耶香的父亲，曾被西内尔操控。
[33] 西内尔·布朗
[34] 负责将幻魔寄宿至克隆体内制造奥格，掌握利用幻魔界充盈的现接之力的技术。拥有名为“布鲁”、体型如孩童的发光人形单位，可引发大爆炸。将奥尔特纳斯坦称作“上位崛起者”。
[35] 堕天使神前
[36] 化名匂坂簪，在新诺洛伊党暗中活动，似乎掌握压制天照神力量的秘术。
[37] 黑衣少女
